Year,Month,Rainfall_mm
2000,Jan,0.358687364
2001,Jan,6.290428579
2002,Jan,40.46194701
2003,Jan,0.0
2004,Jan,15.87176856
2005,Jan,0.506731749
2006,Jan,1.028903067
2007,Jan,0.0
2008,Jan,71.3318882
2009,Jan,11.61331995
2010,Jan,1.230815381
2011,Jan,11.62608624
2012,Jan,6.139318168
2013,Jan,0.0
2014,Jan,0.0
2015,Jan,2.129869103
2016,Jan,0.421057731
2017,Jan,3.412927151
2018,Jan,0.541745901
2019,Jan,0.0
2020,Jan,44.87890553
2021,Jan,122.1927634
2000,Feb,193.9337261
2001,Feb,0.0
2002,Feb,2.620039165
2003,Feb,0.0
2004,Feb,0.0
2005,Feb,2.180258512
2006,Feb,0.0
2007,Feb,7.632412761
2008,Feb,7.725194573
2009,Feb,0.0
2010,Feb,0.120789222
2011,Feb,87.63575935
2012,Feb,0.0
2013,Feb,28.34120442
2014,Feb,3.314341784
2015,Feb,0.0
2016,Feb,0.0
2017,Feb,0.0
2018,Feb,0.0
2019,Feb,1.052644253
2020,Feb,0.210528865
2021,Feb,7.437156081
2000,Mar,10.43985623
2001,Mar,0.0
2002,Mar,0.0
2003,Mar,1.718380094
2004,Mar,0.0
2005,Mar,2.263348848
2006,Mar,6.931426704
2007,Mar,0.0
2008,Mar,132.5198995
2009,Mar,1.971756339
2010,Mar,0.0
2011,Mar,0.0
2012,Mar,2.277189732
2013,Mar,17.69457054
2014,Mar,0.0
2015,Mar,0.0
2016,Mar,0.0
2017,Mar,0.0
2018,Mar,2.730167389
2019,Mar,0.0
2020,Mar,0.0
2021,Mar,0.0
2000,April,23.31724167
2001,April,88.70169187
2002,April,0.0
2003,April,0.0
2004,April,0.626547754
2005,April,97.67489383
2006,April,14.48966408
2007,April,1.361397147
2008,April,9.351329803
2009,April,0.0
2010,April,0.0
2011,April,54.2870996
2012,April,42.24750006
2013,April,0.921063781
2014,April,0.0
2015,April,47.1215992
2016,April,0.0
2017,April,0.0
2018,April,0.0
2019,April,0.829021096
2020,April,16.30893523
2021,April,19.37691158
2000,May,8.84332557
2001,May,10.84832275
2002,May,26.64041799
2003,May,0.138579041
2004,May,148.7746383
2005,May,23.8644979
2006,May,11.17235565
2007,May,21.81842511
2008,May,0.76346311
2009,May,12.46539757
2010,May,193.9845879
2011,May,10.95159805
2012,May,6.336331695
2013,May,2.64257288
2014,May,11.01875019
2015,May,38.05223274
2016,May,216.8251621
2017,May,14.0918113
2018,May,0.0
2019,May,0.0
2020,May,0.0
2021,May,11.48430181
2000,June,51.20294951
2001,June,31.99786201
2002,June,18.7546647
2003,June,6.346919879
2004,June,18.77877649
2005,June,19.83232254
2006,June,63.52218834
2007,June,79.3549199
