Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry,Year
Vepery,Tamil Nadu,Chennai,CGWB,2000-01-05,3.28,13.08333333,80.27083333,2,2000
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2000-01-05,5.44,13.02222222,80.225,2,2000
Alwarpet,Tamil Nadu,Chennai,CGWB,2000-01-05,2.87,13.025,80.25833333,2,2000
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2000-01-05,2.91,13.04166667,80.20833333,2,2000
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2000-05-15,3.86,13.04166667,80.20833333,2,2000
Vepery,Tamil Nadu,Chennai,CGWB,2000-05-15,6.96,13.08333333,80.27083333,2,2000
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2000-05-15,7.05,13.02222222,80.225,2,2000
Alwarpet,Tamil Nadu,Chennai,CGWB,2000-05-15,3.71,13.025,80.25833333,2,2000
Vepery,Tamil Nadu,Chennai,CGWB,2000-08-25,5.9,13.08333333,80.27083333,2,2000
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2000-08-25,4.1,13.04166667,80.20833333,2,2000
Alwarpet,Tamil Nadu,Chennai,CGWB,2000-08-25,3.77,13.025,80.25833333,2,2000
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2000-11-05,7.95,13.02222222,80.225,2,2000
Vepery,Tamil Nadu,Chennai,CGWB,2000-11-05,5.37,13.08333333,80.27083333,2,2000
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2000-11-05,3.78,13.04166667,80.20833333,2,2000
Alwarpet,Tamil Nadu,Chennai,CGWB,2000-11-05,3.4,13.025,80.25833333,2,2000
Alwarpet,Tamil Nadu,Chennai,CGWB,2001-01-05,4.05,13.025,80.25833333,2,2001
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2001-01-05,7.6,13.02222222,80.225,2,2001
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2001-01-05,4.77,13.04166667,80.20833333,2,2001
Vepery,Tamil Nadu,Chennai,CGWB,2001-01-05,6.27,13.08333333,80.27083333,2,2001
Vepery,Tamil Nadu,Chennai,CGWB,2001-05-15,6.59,13.08333333,80.27083333,2,2001
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2001-05-15,10.44,13.04166667,80.20833333,2,2001
Alwarpet,Tamil Nadu,Chennai,CGWB,2001-05-15,3.79,13.025,80.25833333,2,2001
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2001-05-15,9.16,13.02222222,80.225,2,2001
Vepery,Tamil Nadu,Chennai,CGWB,2001-08-25,6.49,13.08333333,80.27083333,2,2001
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2001-08-25,6.34,13.04166667,80.20833333,2,2001
Alwarpet,Tamil Nadu,Chennai,CGWB,2001-08-25,4.17,13.025,80.25833333,2,2001
Vepery,Tamil Nadu,Chennai,CGWB,2001-11-05,4.6,13.08333333,80.27083333,2,2001
Alwarpet,Tamil Nadu,Chennai,CGWB,2001-11-05,2.87,13.025,80.25833333,2,2001
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2001-11-05,3.7,13.04166667,80.20833333,2,2001
Alwarpet,Tamil Nadu,Chennai,CGWB,2002-01-05,2.99,13.025,80.25833333,2,2002
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2002-01-05,2.9,13.04166667,80.20833333,2,2002
Vepery,Tamil Nadu,Chennai,CGWB,2002-01-05,5.1,13.08333333,80.27083333,2,2002
Alwarpet,Tamil Nadu,Chennai,CGWB,2002-05-15,3.73,13.025,80.25833333,2,2002
Vepery,Tamil Nadu,Chennai,CGWB,2002-05-15,4.55,13.08333333,80.27083333,2,2002
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2002-05-15,4.05,13.04166667,80.20833333,2,2002
Alwarpet,Tamil Nadu,Chennai,CGWB,2002-08-25,3.39,13.025,80.25833333,2,2002
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2002-08-25,3.52,13.04166667,80.20833333,2,2002
Vepery,Tamil Nadu,Chennai,CGWB,2002-08-25,3.1,13.08333333,80.27083333,2,2002
Alwarpet,Tamil Nadu,Chennai,CGWB,2002-11-05,3.47,13.025,80.25833333,2,2002
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2002-11-05,1.3,13.04166667,80.20833333,2,2002
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2002-11-05,4.2,13.02222222,80.225,2,2002
Vepery,Tamil Nadu,Chennai,CGWB,2002-11-05,0.1,13.08333333,80.27083333,2,2002
Vepery,Tamil Nadu,Chennai,CGWB,2003-05-15,3.05,13.08333333,80.27083333,2,2003
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2003-05-15,3.88,13.04166667,80.20833333,2,2003
Alwarpet,Tamil Nadu,Chennai,CGWB,2003-05-15,4.78,13.025,80.25833333,2,2003
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2003-05-15,8.45,13.02222222,80.225,2,2003
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2003-08-25,3.5,13.04166667,80.20833333,2,2003
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2003-08-25,8.74,13.02222222,80.225,2,2003
Alwarpet,Tamil Nadu,Chennai,CGWB,2003-08-25,5.6,13.025,80.25833333,2,2003
Vepery,Tamil Nadu,Chennai,CGWB,2003-08-25,3.12,13.08333333,80.27083333,2,2003
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2003-11-05,5.9,13.04166667,80.20833333,2,2003
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2003-11-05,9.19,13.02222222,80.225,2,2003
Alwarpet,Tamil Nadu,Chennai,CGWB,2003-11-05,2.87,13.025,80.25833333,2,2003
Vepery,Tamil Nadu,Chennai,CGWB,2003-11-05,2.7,13.08333333,80.27083333,2,2003
Vepery,Tamil Nadu,Chennai,CGWB,2004-01-05,3.1,13.08333333,80.27083333,2,2004
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2004-01-05,7.0,13.04166667,80.20833333,2,2004
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2004-01-05,10.4,13.02222222,80.225,2,2004
Alwarpet,Tamil Nadu,Chennai,CGWB,2004-01-05,6.5,13.025,80.25833333,2,2004
Vepery,Tamil Nadu,Chennai,CGWB,2004-05-15,6.11,13.08333333,80.27083333,2,2004
Alwarpet,Tamil Nadu,Chennai,CGWB,2004-05-15,8.2,13.025,80.25833333,2,2004
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2004-05-15,5.81,13.02222222,80.225,2,2004
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2004-05-15,7.8,13.04166667,80.20833333,2,2004
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2004-08-25,7.8,13.04166667,80.20833333,2,2004
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2004-08-25,10.04,13.02222222,80.225,2,2004
Alwarpet,Tamil Nadu,Chennai,CGWB,2004-08-25,4.06,13.025,80.25833333,2,2004
Vepery,Tamil Nadu,Chennai,CGWB,2004-08-25,5.03,13.08333333,80.27083333,2,2004
Vepery,Tamil Nadu,Chennai,CGWB,2004-11-05,5.39,13.08333333,80.27083333,2,2004
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2004-11-05,6.1,13.02222222,80.225,2,2004
Alwarpet,Tamil Nadu,Chennai,CGWB,2004-11-05,2.93,13.025,80.25833333,2,2004
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2004-11-05,3.85,13.04166667,80.20833333,2,2004
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2005-01-05,7.2,13.02222222,80.225,2,2005
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2005-01-05,8.2,13.04166667,80.20833333,2,2005
Tondiarpet,Tamil Nadu,Chennai,CGWB,2005-01-05,5.7,13.11666667,80.275,2,2005
Vepery,Tamil Nadu,Chennai,CGWB,2005-01-05,6.06,13.08333333,80.27083333,2,2005
Alwarpet,Tamil Nadu,Chennai,CGWB,2005-01-05,3.97,13.025,80.25833333,2,2005
Vepery,Tamil Nadu,Chennai,CGWB,2005-05-15,6.4,13.08333333,80.27083333,2,2005
Alwarpet,Tamil Nadu,Chennai,CGWB,2005-05-15,3.93,13.025,80.25833333,2,2005
Besant Nagar,Tamil Nadu,Chennai,CGWB,2005-05-15,7.25,13.00138889,80.27,2,2005
Tondiarpet,Tamil Nadu,Chennai,CGWB,2005-05-15,6.3,13.11666667,80.275,2,2005
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2005-05-15,8.2,13.04166667,80.20833333,2,2005
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2005-05-15,9.16,13.02222222,80.225,2,2005
Alwarpet,Tamil Nadu,Chennai,CGWB,2005-08-25,3.5,13.025,80.25833333,2,2005
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2005-08-25,5.15,13.04166667,80.20833333,2,2005
Tondiarpet,Tamil Nadu,Chennai,CGWB,2005-08-25,7.8,13.11666667,80.275,2,2005
Vepery,Tamil Nadu,Chennai,CGWB,2005-08-25,6.23,13.08333333,80.27083333,2,2005
Tondiarpet,Tamil Nadu,Chennai,CGWB,2005-11-05,1.85,13.11666667,80.275,2,2005
Besant Nagar,Tamil Nadu,Chennai,CGWB,2005-11-05,3.26,13.00138889,80.27,2,2005
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2005-11-05,2.9,13.02222222,80.225,2,2005
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2005-11-05,0.62,13.04166667,80.20833333,2,2005
Alwarpet,Tamil Nadu,Chennai,CGWB,2005-11-05,0.66,13.025,80.25833333,2,2005
Vepery,Tamil Nadu,Chennai,CGWB,2005-11-05,0.05,13.08333333,80.27083333,2,2005
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2006-01-05,1.35,13.04166667,80.20833333,2,2006
Tondiarpet,Tamil Nadu,Chennai,CGWB,2006-01-05,2.09,13.11666667,80.275,2,2006
